"date"	"med_delay"	"q10_delay"	"q25_delay"	"q40_delay"	"q60_delay"	"q75_delay"	"q90_delay"
2020-03-15	10	4	6	8	11	14	18
2020-03-16	10	4	6	9	11	14	18
2020-03-17	9	4	6	8	10	13	17
2020-03-18	9	4	6	8	11	13	17
2020-03-19	8	3	6	8	10	13	16
2020-03-20	9	5	6	8	11	13	16
2020-03-21	8	4	5	7	10	12	16
2020-03-22	9	3	5	7	10	12	15
2020-03-23	9	3	5	7	10	12	15
2020-03-24	8	3	4	7	9	11	14
2020-03-25	8	3	5	7	9	11	15
2020-03-26	7	2	5	6	8	10	13
2020-03-27	7	3	5	6	8	10	13
2020-03-28	7	3	4	6	7	10	13
2020-03-29	6	3	4	5	7	9	12
2020-03-30	6	2	4	5	7	9	13
2020-03-31	5	2	3	4	6	8	11
2020-04-01	6	2	3	5	7	8	12
2020-04-02	6	2	4	5	6.80000000000001	8	11
2020-04-03	6	2	4	5	6	8	12
2020-04-04	5	3	4	5	6	8	12
2020-04-05	5	2	3	4	6	8	11
2020-04-06	5	2	3	4	5	8.75	11
2020-04-07	5	2	3	4	6	8	10
2020-04-08	6	2	3	4	7	8	11
2020-04-09	6	2	3	5	7	8	12
2020-04-10	6	2	4	5	6	8	11.1
2020-04-11	5	1	3	4	5	7	11
2020-04-12	5	3	4	4	5	8	11
2020-04-13	4	2	3	4	5	7	10
2020-04-14	4	2	3	3	5	7	9.80000000000001
2020-04-15	5	1.3	2	3	5	7	9
2020-04-16	5	2	3	4	5	7	9
2020-04-17	5	2	3	4	6	7	10
2020-04-18	5	2	3	4	5	6	10
2020-04-19	4	2	3	4	5	7	11
2020-04-20	4	2	3	4	5	7	10
2020-04-21	4	2	2	3	5	7	9
2020-04-22	4	1	2	3	5	6	8
2020-04-23	4	1	1.75	3	5	7	10.7
2020-04-24	4	2	3	4	5	6	8.5
2020-04-25	5	2	3	4	5	7	10.3
2020-04-26	4	2	3	4	5	7	10
2020-04-27	4	2	3	3	6	7	10
2020-04-28	5	2	2	4	5	7	10
2020-04-29	4	1	2	4	5	6	9
2020-04-30	5	2	3	4	5	7	11
2020-05-01	5	3	4	4	6	7	10.3
2020-05-02	5	3	4	5	6	6.25	10
2020-05-03	4	2	3	4	5	6	10
2020-05-04	4	2	3	4	5	7	8.90000000000001
2020-05-05	4	1	2	3	5	6	10
2020-05-06	4	1	2	3	5	6	7
2020-05-07	5	1.6	3	4	5	6	8
2020-05-08	4	2	3	4	5	7	10
2020-05-09	4	2	3	4	4	6	8.8
2020-05-10	4	2	3	3	5	5	8.9
2020-05-11	4	2	2	3	5	7	10
2020-05-12	3	1	2	3	3	5	8
2020-05-13	3.5	1	2	2	5	6.25	9.3
2020-05-14	4	1	2	3	4.6	6	10.4
2020-05-15	5	1	3	4	5	7	11
2020-05-16	4	3	4	4	4	6	8.2
2020-05-17	5	2	2.75	4.4	5	7	8
2020-05-18	6	2	2	4	7	7	8
2020-05-19	4	1	2	3	5	7	9.4
2020-05-20	4	2	2	3	5	6	8
2020-05-21	4	1	2.25	4	5	5.75	6
2020-05-22	3.5	1	2	3	4	5.25	11
2020-05-23	4	1	2	4	5	5	6
2020-05-24	4	2	3.75	4	5	5.25	8.40000000000001
2020-05-25	3	1.8	3	3	5	6	8.4
2020-05-26	3	1	2	2	4	5	7
2020-05-27	4	1	2	3.6	5.4	6	8
2020-05-28	3	1	2	3	4	5	8.2
2020-05-29	5	1.4	2.5	4	5	6	7
2020-05-30	5	2	4	5	6	9	12
2020-05-31	4	1.6	3	4	6.2	8	12.8
2020-06-01	6.5	2.6	4	5.2	7	8	14.5
2020-06-02	3	1.9	2	3	4	6.25	7
2020-06-03	4	2	2.25	3	5	7	9
2020-06-04	5	1	2.5	4.2	6	9.5	14.6
2020-06-05	4	0.4	2.5	4	4.8	9.5	13.2
2020-06-06	4.5	2	3.75	4	5	6.75	11
2020-06-07	5	3.1	4	4.4	5.6	8.5	10.9
2020-06-08	7	1.4	4	5.6	8	10	17.4
2020-06-09	6	1.7	3	4.6	7.2	8.75	9
2020-06-10	5	2.6	3	4.4	6.2	8	9.6
2020-06-11	5	2	2.25	3.6	6.4	7	11.1
2020-06-12	5	3	3.5	5	5.8	6.75	11.5
2020-06-13	4	3	3.5	4	4	5	10
2020-06-14	5	4	4	5	7	8.5	10
2020-06-15	4	1.4	3	3	4.4	8	10
2020-06-16	6	2	2	4.2	6	7	9.2
2020-06-17	5	2	3.75	5	6	8.25	14.7
2020-06-18	6	1	4	4.4	6.8	7	7.8
2020-06-19	6	3	5	6	7	8	9.4
2020-06-20	5	2	3	4	6	7	11.2
2020-06-21	5	2.1	3	5	5.6	8	11.7
2020-06-22	4.5	2	3	4	6	8	9
2020-06-23	3	1.8	2.5	3	4.6	6	7.2
2020-06-24	3	1.8	2	3	4.8	6	11.2
2020-06-25	3	1	2	2.2	4	6	8.8
2020-06-26	5	3	3.25	4.8	5.2	6.75	10
2020-06-27	5	1	3.25	4	5.4	6	9.40000000000001
2020-06-28	5	3	3	4	5	8	9.5
