"date"	"n_dis"	"n_rep"
2020-03-02	56	7
2020-03-03	45	4
2020-03-04	61	5
2020-03-05	66	8
2020-03-06	116	27
2020-03-09	281	61
2020-03-10	353	28
2020-03-11	411	59
2020-03-12	491	71
2020-03-13	654	123
2020-03-14	700	143
2020-03-15	792	91
2020-03-16	1173	117
2020-03-17	1017	181
2020-03-18	1049	335
2020-03-19	962	527
2020-03-20	1163	382
2020-03-21	1000	489
2020-03-22	796	826
2020-03-23	1136	399
2020-03-24	822	587
2020-03-25	963	988
2020-03-26	774	885
2020-03-27	850	1172
2020-03-28	750	1159
2020-03-29	599	748
2020-03-30	821	671
2020-03-31	600	895
2020-04-01	717	1356
2020-04-02	634	1253
2020-04-03	635	1093
2020-04-04	525	1309
2020-04-05	440	734
2020-04-06	546	741
2020-04-07	487	874
2020-04-08	453	857
2020-04-09	455	1006
2020-04-10	400	696
2020-04-11	343	676
2020-04-12	286	355
2020-04-13	269	339
2020-04-14	283	430
2020-04-15	284	515
2020-04-16	256	619
2020-04-17	213	530
2020-04-18	203	288
2020-04-19	141	278
2020-04-20	204	263
2020-04-21	145	278
2020-04-22	154	315
2020-04-23	184	324
2020-04-24	126	319
2020-04-25	118	180
2020-04-26	85	73
2020-04-27	107	170
2020-04-28	93	185
2020-04-29	76	121
2020-04-30	105	202
2020-05-01	88	74
2020-05-02	60	74
2020-05-03	77	94
2020-05-04	82	88
2020-05-05	86	113
2020-05-06	75	108
2020-05-07	77	124
2020-05-08	63	121
2020-05-09	63	43
2020-05-10	62	33
2020-05-11	66	110
2020-05-12	55	103
2020-05-13	48	104
2020-05-14	57	63
2020-05-15	49	83
2020-05-16	45	41
2020-05-17	32	27
2020-05-18	65	54
2020-05-19	47	38
2020-05-20	55	83
2020-05-21	42	23
2020-05-22	36	67
2020-05-23	31	36
2020-05-24	20	43
2020-05-25	29	57
2020-05-26	35	46
2020-05-27	35	49
2020-05-28	30	47
2020-05-29	15	31
2020-05-30	21	28
2020-05-31	17	19
2020-06-01	14	13
2020-06-02	20	30
2020-06-03	18	22
2020-06-04	19	21
2020-06-05	15	34
2020-06-06	16	13
2020-06-07	12	4
2020-06-08	25	18
2020-06-09	18	20
2020-06-10	17	14
2020-06-11	10	14
2020-06-12	14	17
2020-06-13	11	9
2020-06-14	11	10
2020-06-15	25	13
2020-06-16	19	13
2020-06-17	24	24
2020-06-18	9	35
2020-06-19	19	17
2020-06-20	25	5
2020-06-21	22	9
2020-06-22	26	21
2020-06-23	19	19
2020-06-24	29	23
2020-06-25	29	25
2020-06-26	38	37
2020-06-27	30	21
2020-06-28	26	21
2020-06-29	43	24
2020-06-30	33	27
