"date"	"n_dis"
2020-02-24	1
2020-02-25	2
2020-02-26	3
2020-02-27	5
2020-02-28	7
2020-02-29	11
2020-03-01	16
2020-03-02	23
2020-03-03	32
2020-03-04	44
2020-03-05	59
2020-03-06	78
2020-03-07	101
2020-03-08	127
2020-03-09	158
2020-03-10	192
2020-03-11	229
2020-03-12	267
2020-03-13	306
2020-03-14	345
2020-03-15	381
2020-03-16	415
2020-03-17	444
2020-03-18	467
2020-03-19	485
2020-03-20	498
2020-03-21	504
2020-03-22	504
2020-03-23	499
2020-03-24	490
2020-03-25	477
2020-03-26	460
2020-03-27	442
2020-03-28	421
2020-03-29	399
2020-03-30	377
2020-03-31	355
2020-04-01	333
2020-04-02	312
2020-04-03	291
2020-04-04	272
2020-04-05	253
2020-04-06	236
2020-04-07	219
2020-04-08	204
2020-04-09	190
2020-04-10	176
2020-04-11	164
2020-04-12	153
2020-04-13	143
2020-04-14	133
2020-04-15	124
2020-04-16	116
2020-04-17	108
2020-04-18	101
2020-04-19	95
2020-04-20	89
2020-04-21	83
2020-04-22	78
2020-04-23	74
2020-04-24	69
2020-04-25	65
2020-04-26	61
2020-04-27	58
2020-04-28	55
2020-04-29	52
2020-04-30	49
2020-05-01	46
2020-05-02	44
2020-05-03	42
2020-05-04	40
2020-05-05	38
2020-05-06	36
2020-05-07	34
2020-05-08	32
2020-05-09	31
2020-05-10	29
2020-05-11	28
2020-05-12	27
2020-05-13	26
2020-05-14	24
2020-05-15	23
2020-05-16	22
2020-05-17	21
2020-05-18	20
2020-05-19	20
2020-05-20	19
2020-05-21	18
2020-05-22	17
2020-05-23	16
2020-05-24	16
2020-05-25	15
2020-05-26	14
2020-05-27	14
2020-05-28	13
2020-05-29	13
2020-05-30	12
2020-05-31	12
2020-06-01	11
2020-06-02	11
2020-06-03	10
2020-06-04	10
2020-06-05	10
2020-06-06	10
2020-06-07	9
2020-06-08	9
2020-06-09	9
2020-06-10	9
2020-06-11	9
2020-06-12	9
2020-06-13	9
2020-06-14	9
2020-06-15	9
2020-06-16	9
2020-06-17	9
2020-06-18	9
2020-06-19	9
2020-06-20	10
2020-06-21	10
2020-06-22	10
2020-06-23	11
2020-06-24	11
2020-06-25	12
2020-06-26	12
2020-06-27	13
2020-06-28	13
2020-06-29	14
2020-06-30	14
