date	ntInf_true
2020-02-24	17
2020-02-25	19
2020-02-26	31
2020-02-27	44
2020-02-28	54
2020-02-29	82
2020-03-01	74
2020-03-02	111
2020-03-03	104
2020-03-04	142
2020-03-05	166
2020-03-06	237
2020-03-07	289
2020-03-08	300
2020-03-09	460
2020-03-10	556
2020-03-11	686
2020-03-12	786
2020-03-13	925
2020-03-14	1007
2020-03-15	1155
2020-03-16	1551
2020-03-17	1458
2020-03-18	1462
2020-03-19	1376
2020-03-20	1617
2020-03-21	1481
2020-03-22	1269
2020-03-23	1636
2020-03-24	1324
2020-03-25	1443
2020-03-26	1241
2020-03-27	1316
2020-03-28	1191
2020-03-29	1032
2020-03-30	1273
2020-03-31	999
2020-04-01	1114
2020-04-02	1019
2020-04-03	955
2020-04-04	833
2020-04-05	758
2020-04-06	851
