date	med	q025	q05	q25	q75	q95	q975	type	observed
2020-02-24	28	28	28	28	28	28	28	NA	28
2020-02-25	35	35	35	35	35	35	35	NA	35
2020-02-26	41	41	41	41	41	41	41	NA	41
2020-02-27	54	54	54	54	54	54	54	NA	54
2020-02-28	65	65	65	65	65	65	65	NA	65
2020-02-29	79	79	79	79	79	79	79	NA	79
2020-03-01	83	83	83	83	83	83	83	NA	83
2020-03-02	121	121	121	121	121	121	121	NA	121
2020-03-03	129	129	129	129	129	129	129	NA	129
2020-03-04	166	166	166	166	166	166	166	NA	166
2020-03-05	209	209	209	209	209	209	209	NA	209
2020-03-06	251	251	251	251	251	251	251	NA	251
2020-03-07	313	313	313	313	313	313	313	NA	313
2020-03-08	392	392	392	392	392	392	392	NA	392
2020-03-09	460	460	460	460	460	460	460	NA	460
2020-03-10	586	586	586	586	586	586	586	NA	586
2020-03-11	622	622	622	622	622	622	622	NA	622
2020-03-12	729	729	729	729	729	729	729	NA	729
2020-03-13	776	776	776	776	776	776	776	NA	776
2020-03-14	909	909	909	909	909	909	909	NA	909
2020-03-15	1003	1003	1003	1003	1003	1003	1003	NA	1003
2020-03-16	1172	1172	1172	1172	1172	1172	1172	NA	1172
2020-03-17	1283	1283	1283	1283	1283	1283	1283	NA	1283
2020-03-18	1293	1293	1293	1293	1293	1293	1293	NA	1293
2020-03-19	1285	1266	1268	1278	1294	1309	1314	randomWalk_cpDelay_wExtra_negBinom	1247
2020-03-20	1328	1308	1310	1320	1336	1351	1357	randomWalk_cpDelay_wExtra_negBinom	1282
2020-03-21	1404	1382	1385	1396	1414	1429	1435	randomWalk_cpDelay_wExtra_negBinom	1350
2020-03-22	1479	1455	1458	1470	1490	1506	1511	randomWalk_cpDelay_wExtra_negBinom	1412
2020-03-23	1515	1488	1492	1504	1525	1543	1550	randomWalk_cpDelay_wExtra_negBinom	1437
2020-03-24	1471.5	1441	1446	1460	1484	1505	1513	randomWalk_cpDelay_wExtra_negBinom	1381
2020-03-25	1393	1361	1365	1381	1406	1428	1436	randomWalk_cpDelay_wExtra_negBinom	1294
2020-03-26	1313	1277	1283	1300	1329	1353	1363	randomWalk_cpDelay_wExtra_negBinom	1200
2020-03-27	1283	1241	1247	1268	1300	1327	1338	randomWalk_cpDelay_wExtra_negBinom	1152
2020-03-28	1255	1207	1214	1237.75	1274	1305	1316	randomWalk_cpDelay_wExtra_negBinom	1107
2020-03-29	1240	1187	1194	1220	1263	1299	1313	randomWalk_cpDelay_wExtra_negBinom	1063
2020-03-30	1108	1049	1056	1085.75	1132	1174	1188	randomWalk_cpDelay_wExtra_negBinom	912
2020-03-31	1136	1065	1077	1110	1166	1218.05	1235	randomWalk_cpDelay_wExtra_negBinom	897
2020-04-01	929	854	865	901	961	1012	1033.025	randomWalk_cpDelay_wExtra_negBinom	675
2020-04-02	776	696	708	747	810	865.05	887	randomWalk_cpDelay_wExtra_negBinom	503
2020-04-03	723	631	644	689	762	824	848	randomWalk_cpDelay_wExtra_negBinom	410
2020-04-04	641	536	550	602	685	757	781	randomWalk_cpDelay_wExtra_negBinom	293
2020-04-05	685	554	570	634	743	834	870	randomWalk_cpDelay_wExtra_negBinom	234
2020-04-06	717	549	578	655	787.25	913	958	randomWalk_cpDelay_wExtra_negBinom	159
