date	reported_new_cases	bayes_wd_tps_predicted	bayes_wd_tps_predicted_lower	bayes_wd_tps_predicted_upper	bayes_wd_iidLogGa_predicted	bayes_wd_iidLogGa_predicted_lower	bayes_wd_iidLogGa_predicted_upper
2020-02-24	0	13	13	13	13	13	13
2020-02-25	0	18	18	18	18	18	18
2020-02-26	0	24	24	24	24	24	24
2020-02-27	0	44	44	44	44	44	44
2020-02-28	0	58	58	58	58	58	58
2020-02-29	0	75	75	75	75	75	75
2020-03-01	0	71	71	71	71	71	71
2020-03-02	11	118	118	118	118	118	118
2020-03-03	5	112	112	112	112	112	112
2020-03-04	7	151	151	151	151	151	151
2020-03-05	14	165	165	165	165	165	165
2020-03-06	31	253	253	253	253	253	253
2020-03-07	0	305	305	305	305	305	305
2020-03-08	0	336	336	336	336	336	336
2020-03-09	97	449	449	449	449	449	449
2020-03-10	63	583	583	583	583	583	583
2020-03-11	85	662	662	662	662	662	662
2020-03-12	133	779	779	779	779	779	779
2020-03-13	242	981	981	981	981	981	981
2020-03-14	213	1018	1018	1018	1018	1018	1018
2020-03-15	126	1162	1162	1162	1162	1162	1162
2020-03-16	199	1554	1554	1554	1554	1554	1554
2020-03-17	264	1378	1378	1378	1378	1378	1378
2020-03-18	582	1418	1418	1418	1418	1418	1418
2020-03-19	882	1372	1372	1372	1372	1372	1372
2020-03-20	613	1593	1593	1593	1593	1593	1593
2020-03-21	683	1453	1453	1453	1453	1453	1453
2020-03-22	1339	1278	1278	1278	1278	1278	1278
2020-03-23	592	1656	1656	1656	1656	1656	1656
2020-03-24	880	1345	1345	1345	1345	1345	1345
2020-03-25	1496	1458	1458	1458	1458	1458	1458
2020-03-26	1337	1287	1287	1287	1287	1287	1287
2020-03-27	1636	1304	1304	1304	1304	1304	1304
2020-03-28	1655	1209	1209	1209	1209	1209	1209
2020-03-29	1108	1082	1082	1082	1082	1082	1082
2020-03-30	1110	1272	1272	1272	1272	1272	1272
2020-03-31	1438	1016	1016	1016	1016	1016	1016
2020-04-01	1944	1110	1110	1110	1110	1110	1110
2020-04-02	1792	1040	1040	1040	1040	1040	1040
2020-04-03	1656	992	992	992	992	992	992
2020-04-04	1908	811	811	811	811	811	811
2020-04-05	1071	735	735	735	735	735	735
2020-04-06	1171	814	814	814	814	814	814
2020-04-07	1368	776	776	776	776	776	776
2020-04-08	1256	736	736	736	736	736	736
2020-04-09	1533	670	670	670	670	670	670
2020-04-10	1107	576	576	576	576	576	576
2020-04-11	1025	534	534	534	534	534	534
2020-04-12	559	478	478	478	478	478	478
2020-04-13	546	486	486	486	486	486	486
2020-04-14	749	513	510	517	513	510	517
2020-04-15	862	494	491	498	494	491	498
2020-04-16	905	419	416	424	419	416	424
2020-04-17	864	390	386	396	390	386	395
2020-04-18	520	369	364	374	368	364	374
2020-04-19	436	311	306	317	310	305	316
2020-04-20	477	334	328	341	334	328	341
2020-04-21	512	284	277	292	283	276	290
2020-04-22	599	299	291	308	299	291	309
2020-04-23	563	305	297	316	309	299	321
2020-04-24	603	224	214	236	222	212	234
2020-04-25	376	206	195	219	203	192	216
2020-04-26	138	192	179	206	188	175	202
2020-04-27	330	198	184	214	199	183	218
2020-04-28	434	172	157	190	165	148	185
2020-04-29	262	157	139	177	140	120	163
2020-04-30	437	191	170	214	216	186	252
2020-05-01	172	159	134	187	144	112	185
2020-05-02	133	157	126	193	139	98	192
